Shop-ID;Brand;Country;Postcode;City;Street and Housenumber;Complete adress;With brand
5976110;Subway;DE;16225;Eberswalde;Friedrich-Ebert-Straße 27b;Friedrich-Ebert-Straße 27b 16225 Eberswalde;Subway Friedrich-Ebert-Straße 27b 16225 Eberswalde
5976321;Subway;DE;16303;Schwedt;Platz der Befreiung 1;Platz der Befreiung 1 16303 Schwedt;Subway Platz der Befreiung 1 16303 Schwedt
5976187;Subway;DE;16515;Oranienburg;Schulstr. 3;Schulstr. 3 16515 Oranienburg;Subway Schulstr. 3 16515 Oranienburg
5976622;Subway;DE;17126;Jarmen;Gewerbestr. 1;Gewerbestr. 1 17126 Jarmen;Subway Gewerbestr. 1 17126 Jarmen
5976307;Subway;DE;17235;Neustrelitz;Sassenstr. 1;Sassenstr. 1 17235 Neustrelitz;Subway Sassenstr. 1 17235 Neustrelitz
5976618;Subway;DE;17373;Ueckermünde;Chausseestraße 4;Chausseestraße 4 17373 Ueckermünde;Subway Chausseestraße 4 17373 Ueckermünde
5976646;Subway;DE;17429;Bansin;Seestr. 84;Seestr. 84 17429 Bansin;Subway Seestr. 84 17429 Bansin
5976165;Subway;DE;17489;Greifswald;Schuhhagen 28;Schuhhagen 28 17489 Greifswald;Subway Schuhhagen 28 17489 Greifswald
5976229;Subway;DE;18055;Rostock;Breite Str. 12 - 15;Breite Str. 12 - 15 18055 Rostock;Subway Breite Str. 12 - 15 18055 Rostock
5976133;Subway;DE;18057;Rostock;Doberaner Strasse 10-12;Doberaner Strasse 10-12 18057 Rostock;Subway Doberaner Strasse 10-12 18057 Rostock
5976304;Subway;DE;18182;Rostock;Hansestr. 37;Hansestr. 37 18182 Rostock;Subway Hansestr. 37 18182 Rostock
5976642;Subway;DE;18273;Güstrow;Pferdemarkt 22;Pferdemarkt 22 18273 Güstrow;Subway Pferdemarkt 22 18273 Güstrow
5976259;Subway;DE;18374;Zingst;Seestraße 71;Seestraße 71 18374 Zingst;Subway Seestraße 71 18374 Zingst
5976162;Subway;DE;18439;Stralsund;Neuer Markt 6;Neuer Markt 6 18439 Stralsund;Subway Neuer Markt 6 18439 Stralsund
5976329;Subway;DE;19053;Schwerin;Grunthalplatz 3-4;Grunthalplatz 3-4 19053 Schwerin;Subway Grunthalplatz 3-4 19053 Schwerin
5976134;Subway;DE;19053;Schwerin;Lübecker Strasse 5;Lübecker Strasse 5 19053 Schwerin;Subway Lübecker Strasse 5 19053 Schwerin
5976379;Subway;DE;19061;Schwerin;Blumenbrink 64;Blumenbrink 64 19061 Schwerin;Subway Blumenbrink 64 19061 Schwerin
5976561;Subway;DE;20095;Hamburg;Ballindamm 38;Ballindamm 38 20095 Hamburg;Subway Ballindamm 38 20095 Hamburg
5976140;Subway;DE;20095;Hamburg;Glockengiesserwall 8 - 10;Glockengiesserwall 8 - 10 20095 Hamburg;Subway Glockengiesserwall 8 - 10 20095 Hamburg
5976278;Subway;DE;20097;Hamburg;Hammerbrookstraße 92-94;Hammerbrookstraße 92-94 20097 Hamburg;Subway Hammerbrookstraße 92-94 20097 Hamburg
5976479;Subway;DE;20253;Hamburg;Hoheluftchaussee 28;Hoheluftchaussee 28 20253 Hamburg;Subway Hoheluftchaussee 28 20253 Hamburg
5976086;Subway;DE;20354;Hamburg;Gaensemarkt 36;Gaensemarkt 36 20354 Hamburg;Subway Gaensemarkt 36 20354 Hamburg
5976131;Subway;DE;21079;Hamburg;Hannoversche Strasse 86;Hannoversche Strasse 86 21079 Hamburg;Subway Hannoversche Strasse 86 21079 Hamburg
5976552;Subway;DE;21244;Buchholz;Neue Straße 17;Neue Straße 17 21244 Buchholz;Subway Neue Straße 17 21244 Buchholz
5976177;Subway;DE;21335;Lüneburg;Altenbrückertorstr. 7;Altenbrückertorstr. 7 21335 Lüneburg;Subway Altenbrückertorstr. 7 21335 Lüneburg
5976226;Subway;DE;21423;Winsen;Von-Somnitz-Ring 13;Von-Somnitz-Ring 13 21423 Winsen;Subway Von-Somnitz-Ring 13 21423 Winsen
5976519;Subway;DE;22087;Hamburg;Mundsburger Damm 61;Mundsburger Damm 61 22087 Hamburg;Subway Mundsburger Damm 61 22087 Hamburg
5976531;Subway;DE;22111;Hamburg;Billstedter Platz;Billstedter Platz 22111 Hamburg;Subway Billstedter Platz 22111 Hamburg
5976454;Subway;DE;22305;Hamburg;Fuhlsbüttler Straße 168;Fuhlsbüttler Straße 168 22305 Hamburg;Subway Fuhlsbüttler Straße 168 22305 Hamburg
5976195;Subway;DE;22391;Hamburg;Heegbarg 2;Heegbarg 2 22391 Hamburg;Subway Heegbarg 2 22391 Hamburg
5976239;Subway;DE;22525;Hamburg;Kieler Straße 561;Kieler Straße 561 22525 Hamburg;Subway Kieler Straße 561 22525 Hamburg
5976190;Subway;DE;22765;Hamburg;Paul-Nevermann-Platz 15/16;Paul-Nevermann-Platz 15/16 22765 Hamburg;Subway Paul-Nevermann-Platz 15/16 22765 Hamburg
5976634;Subway;DE;22846;Norderstedt;Ulzburger Straße 332b;Ulzburger Straße 332b 22846 Norderstedt;Subway Ulzburger Straße 332b 22846 Norderstedt
5976593;Subway;DE;23611;Bad Schwartau;Eutiner Ring 12;Eutiner Ring 12 23611 Bad Schwartau;Subway Eutiner Ring 12 23611 Bad Schwartau
5976243;Subway;DE;23936;Grevesmühlen;Wismarsche Straße 152b;Wismarsche Straße 152b 23936 Grevesmühlen;Subway Wismarsche Straße 152b 23936 Grevesmühlen
5976251;Subway;DE;24103;Kiel;Alter Markt 7;Alter Markt 7 24103 Kiel;Subway Alter Markt 7 24103 Kiel
5976148;Subway;DE;24103;Kiel;Holstenstraße 1-2;Holstenstraße 1-2 24103 Kiel;Subway Holstenstraße 1-2 24103 Kiel
5976144;Subway;DE;24937;Flensburg;Süderhofenden 14;Süderhofenden 14 24937 Flensburg;Subway Süderhofenden 14 24937 Flensburg
5976440;Subway;DE;24939;Flensburg;Duburger Strasse 65;Duburger Strasse 65 24939 Flensburg;Subway Duburger Strasse 65 24939 Flensburg
5976481;Subway;DE;25813;Husum;Andreas-Clausen-Str. 2;Andreas-Clausen-Str. 2 25813 Husum;Subway Andreas-Clausen-Str. 2 25813 Husum
5976475;Subway;DE;25813;Husum;Neustadt 74;Neustadt 74 25813 Husum;Subway Neustadt 74 25813 Husum
5976256;Subway;DE;26122;Oldenburg;Hauptstraße 32;Hauptstraße 32 26122 Oldenburg;Subway Hauptstraße 32 26122 Oldenburg
5976401;Subway;DE;26123;Oldenburg;Nadorster Str. 178;Nadorster Str. 178 26123 Oldenburg;Subway Nadorster Str. 178 26123 Oldenburg
